ID_BAYAR,ID_SEWA,ID_ADMIN,METODE_BAYAR,DP_AWAL,SISA_BAYAR,TOTAL_BAYAR,TGL_BAYAR,STATUS_BAYAR,BUKTI_TRANSFER
111,111,4,CASH,840000,1960000,2800000,6/8/2024,DP,
112,112,1,CASH,270000,0,900000,12/10/2024,LUNAS,
113,113,4,CASH,1890000,4410000,6300000,5/28/2024,DP,
114,114,5,TRANSFER,576000,0,1920000,12/2/2024,LUNAS,BUKTI-114-2024
115,115,5,KARTU KREDIT,576000,0,1920000,5/12/2024,LUNAS,
116,116,4,QRIS,174000,0,580000,8/9/2024,LUNAS,
117,117,2,TRANSFER,0,0,0,6/21/2024,BELUM BAYAR,BUKTI-117-2024
118,118,2,QRIS,480000,0,1600000,6/13/2024,LUNAS,
119,119,1,KARTU KREDIT,798000,0,2660000,5/4/2024,LUNAS,
120,120,1,QRIS,2520000,5880000,8400000,12/25/2024,DP,
121,121,4,TRANSFER,540000,0,1800000,9/18/2024,LUNAS,BUKTI-121-2024
122,122,2,QRIS,0,0,0,6/21/2024,BELUM BAYAR,
123,123,5,KARTU KREDIT,0,0,0,10/26/2024,BELUM BAYAR,
124,124,5,TRANSFER,360000,0,1200000,7/13/2024,LUNAS,BUKTI-124-2024
125,125,5,TRANSFER,300000,0,1000000,4/14/2024,LUNAS,BUKTI-125-2024
126,126,4,QRIS,756000,0,2520000,12/30/2024,LUNAS,
127,127,2,QRIS,75000,0,250000,6/10/2024,LUNAS,
128,128,1,CASH,2265000,0,7550000,8/2/2024,LUNAS,
129,129,5,CASH,0,0,0,6/4/2024,BELUM BAYAR,
130,130,3,CASH,570000,0,1900000,6/24/2024,LUNAS,
131,131,2,TRANSFER,630000,0,2100000,7/2/2024,LUNAS,BUKTI-131-2024
132,132,3,KARTU KREDIT,135000,0,450000,4/11/2024,LUNAS,
133,133,3,TRANSFER,1680000,0,5600000,10/17/2024,LUNAS,BUKTI-133-2024
134,134,4,TRANSFER,288000,0,960000,12/28/2024,LUNAS,BUKTI-134-2024
135,135,5,TRANSFER,93000,0,310000,8/22/2024,LUNAS,BUKTI-135-2024
136,136,4,CASH,960000,0,3200000,12/23/2024,LUNAS,
137,137,2,TRANSFER,720000,0,2400000,6/21/2024,LUNAS,BUKTI-137-2024
138,138,2,TRANSFER,780000,0,2600000,7/13/2024,LUNAS,BUKTI-138-2024
139,139,2,CASH,2175000,0,7250000,12/12/2024,LUNAS,
140,140,3,CASH,375000,0,1250000,10/19/2024,LUNAS,
141,141,2,TRANSFER,360000,0,1200000,8/22/2024,LUNAS,BUKTI-141-2024
142,142,1,CASH,780000,0,2600000,8/9/2024,LUNAS,
143,143,3,QRIS,1125000,0,3750000,5/17/2024,LUNAS,
144,144,2,QRIS,144000,0,480000,5/11/2024,LUNAS,
145,145,4,QRIS,225000,0,750000,4/19/2024,LUNAS,
146,146,2,TRANSFER,609000,0,2030000,2/24/2024,LUNAS,BUKTI-146-2024
147,147,1,QRIS,540000,1260000,1800000,9/17/2024,DP,
148,148,5,TRANSFER,522000,0,1740000,1/28/2024,LUNAS,BUKTI-148-2024
149,149,4,CASH,720000,0,2400000,7/20/2024,LUNAS,
150,150,2,KARTU KREDIT,83000,0,275000,4/27/2024,LUNAS,
151,151,1,QRIS,228000,0,760000,10/10/2024,LUNAS,
152,152,4,CASH,90000,0,300000,1/4/2024,LUNAS,
153,153,4,TRANSFER,450000,0,1500000,12/23/2024,LUNAS,BUKTI-153-2024
154,154,2,TRANSFER,1800000,0,6000000,6/9/2024,LUNAS,BUKTI-154-2024
155,155,2,CASH,450000,0,1500000,12/22/2024,LUNAS,
156,156,4,TRANSFER,1350000,0,4500000,5/21/2024,LUNAS,BUKTI-156-2024
157,157,4,KARTU KREDIT,378000,0,1260000,5/2/2024,LUNAS,
158,158,4,QRIS,248000,0,825000,6/16/2024,LUNAS,
159,159,3,QRIS,0,0,0,3/13/2024,BELUM BAYAR,
160,160,3,CASH,279000,0,930000,7/10/2024,LUNAS,
161,161,1,KARTU KREDIT,1890000,0,6300000,6/15/2024,LUNAS,
162,162,2,CASH,630000,0,2100000,6/26/2024,LUNAS,
163,163,2,QRIS,519000,0,1730000,12/18/2024,LUNAS,
164,164,4,CASH,1350000,0,4500000,8/20/2024,LUNAS,
165,165,1,TRANSFER,135000,315000,450000,11/14/2024,DP,BUKTI-165-2024
166,166,2,QRIS,390000,0,1300000,8/12/2024,LUNAS,
167,167,4,CASH,1350000,0,4500000,3/16/2024,LUNAS,
168,168,3,TRANSFER,942000,0,3140000,3/1/2024,LUNAS,BUKTI-168-2024
169,169,4,CASH,720000,0,2400000,3/1/2024,LUNAS,
170,170,4,TRANSFER,450000,0,1500000,8/26/2024,LUNAS,BUKTI-170-2024
171,171,3,TRANSFER,1470000,0,4900000,3/18/2024,LUNAS,BUKTI-171-2024
172,172,1,KARTU KREDIT,465000,0,1550000,11/13/2024,LUNAS,
173,173,1,QRIS,609000,1421000,2030000,8/11/2024,DP,
174,174,5,TRANSFER,225000,525000,750000,11/24/2024,DP,BUKTI-174-2024
175,175,1,TRANSFER,378000,0,1260000,2/8/2024,LUNAS,BUKTI-175-2024
176,176,1,QRIS,735000,0,2450000,8/8/2024,LUNAS,
177,177,4,TRANSFER,585000,0,1950000,12/17/2024,LUNAS,BUKTI-177-2024
178,178,3,CASH,90000,0,300000,12/15/2024,LUNAS,
179,179,5,TRANSFER,1350000,0,4500000,7/14/2024,LUNAS,BUKTI-179-2024
180,180,1,CASH,456000,0,1520000,3/29/2024,LUNAS,
181,181,2,QRIS,1260000,0,4200000,11/29/2024,LUNAS,
182,182,2,CASH,540000,1260000,1800000,9/2/2024,DP,
183,183,3,QRIS,675000,0,2250000,8/15/2024,LUNAS,
184,184,3,QRIS,960000,0,3200000,6/8/2024,LUNAS,
185,185,3,TRANSFER,720000,0,2400000,3/28/2024,LUNAS,BUKTI-185-2024
186,186,2,CASH,750000,1750000,2500000,4/12/2024,DP,
187,187,4,TRANSFER,750000,0,2500000,11/23/2024,LUNAS,BUKTI-187-2024
188,188,1,KARTU KREDIT,618000,0,2060000,11/30/2024,LUNAS,
189,189,4,QRIS,1170000,0,3900000,3/26/2024,LUNAS,
190,190,1,CASH,1350000,0,4500000,12/2/2024,LUNAS,
191,191,3,KARTU KREDIT,456000,1064000,1520000,3/11/2024,DP,
192,192,5,TRANSFER,1080000,0,3600000,12/19/2024,LUNAS,BUKTI-192-2024
193,193,5,TRANSFER,450000,0,1500000,9/8/2024,LUNAS,BUKTI-193-2024
194,194,4,TRANSFER,135000,0,450000,2/12/2024,LUNAS,BUKTI-194-2024
195,195,2,CASH,225000,0,750000,10/7/2024,LUNAS,
196,196,2,CASH,1350000,0,4500000,7/6/2024,LUNAS,
197,197,5,QRIS,675000,0,2250000,10/23/2024,LUNAS,
198,198,4,TRANSFER,735000,0,2450000,12/8/2024,LUNAS,BUKTI-198-2024
199,199,5,KARTU KREDIT,150000,0,500000,2/14/2024,LUNAS,
200,200,1,CASH,900000,2100000,3000000,8/2/2024,DP,
201,201,3,CASH,675000,0,2250000,6/12/2024,LUNAS,
202,202,3,QRIS,756000,0,2520000,4/16/2024,LUNAS,
203,203,1,CASH,882000,0,2940000,9/24/2024,LUNAS,
204,204,2,QRIS,0,0,0,1/27/2024,BELUM BAYAR,
205,205,2,CASH,540000,0,1800000,12/28/2024,LUNAS,
206,206,3,TRANSFER,261000,0,870000,6/4/2024,LUNAS,BUKTI-206-2024
207,207,4,KARTU KREDIT,390000,0,1300000,2/24/2024,LUNAS,
208,208,4,CASH,540000,1260000,1800000,9/6/2024,DP,
209,209,4,CASH,1470000,0,4900000,6/3/2024,LUNAS,
210,210,3,QRIS,195000,0,650000,6/27/2024,LUNAS,
211,211,5,TRANSFER,1170000,2730000,3900000,6/25/2024,DP,BUKTI-211-2024
212,212,3,QRIS,0,0,0,11/10/2024,BELUM BAYAR,
213,213,2,TRANSFER,93000,0,310000,12/10/2024,LUNAS,BUKTI-213-2024
214,214,3,TRANSFER,660000,0,2200000,7/20/2024,LUNAS,BUKTI-214-2024
215,215,4,CASH,96000,0,320000,10/16/2024,LUNAS,
216,216,3,CASH,390000,910000,1300000,6/12/2024,DP,
217,217,4,CASH,0,0,0,12/23/2024,BELUM BAYAR,
218,218,4,KARTU KREDIT,1890000,0,6300000,5/23/2024,LUNAS,
219,219,3,CASH,2160000,0,7200000,7/17/2024,LUNAS,
220,220,2,KARTU KREDIT,375000,0,1250000,12/18/2024,LUNAS,
221,221,1,QRIS,0,0,0,12/16/2024,BELUM BAYAR,
222,222,4,TRANSFER,1620000,0,5400000,12/18/2024,LUNAS,BUKTI-222-2024
223,223,5,TRANSFER,504000,0,1680000,11/25/2024,LUNAS,BUKTI-223-2024
224,224,3,QRIS,1050000,0,3500000,4/19/2024,LUNAS,
225,225,3,QRIS,1710000,0,5700000,6/23/2024,LUNAS,
226,226,2,CASH,975000,0,3250000,9/19/2024,LUNAS,
227,227,4,TRANSFER,225000,0,750000,9/12/2024,LUNAS,BUKTI-227-2024
228,228,1,TRANSFER,270000,0,900000,6/27/2024,LUNAS,BUKTI-228-2024
229,229,1,CASH,96000,0,320000,9/9/2024,LUNAS,
230,230,4,TRANSFER,2520000,0,8400000,6/23/2024,LUNAS,BUKTI-230-2024
231,231,5,QRIS,0,0,0,7/10/2024,BELUM BAYAR,
232,232,4,TRANSFER,1038000,0,3460000,1/30/2024,LUNAS,BUKTI-232-2024
233,233,3,CASH,558000,0,1860000,6/19/2024,LUNAS,
234,234,1,TRANSFER,141000,0,470000,5/29/2024,LUNAS,BUKTI-234-2024
235,235,1,QRIS,228000,0,760000,6/14/2024,LUNAS,
236,236,4,TRANSFER,0,0,0,9/29/2024,BELUM BAYAR,BUKTI-236-2024
237,237,2,CASH,570000,0,1900000,4/4/2024,LUNAS,
238,238,2,TRANSFER,864000,0,2880000,12/17/2024,LUNAS,BUKTI-238-2024
239,239,1,CASH,540000,0,1800000,6/15/2024,LUNAS,
240,240,5,QRIS,1410000,0,4700000,8/19/2024,LUNAS,
241,241,1,TRANSFER,252000,0,840000,12/17/2024,LUNAS,BUKTI-241-2024
242,242,1,QRIS,522000,0,1740000,12/27/2024,LUNAS,
243,243,1,TRANSFER,0,0,0,12/26/2024,BELUM BAYAR,BUKTI-243-2024
244,244,5,QRIS,342000,0,1140000,6/2/2024,LUNAS,
245,245,4,CASH,720000,0,2400000,6/10/2024,LUNAS,
246,246,3,TRANSFER,165000,0,550000,2/13/2024,LUNAS,BUKTI-246-2024
247,247,3,CASH,1008000,0,3360000,12/24/2024,LUNAS,
248,248,4,QRIS,810000,0,2700000,6/21/2024,LUNAS,
249,249,3,TRANSFER,810000,0,2700000,12/20/2024,LUNAS,BUKTI-249-2024
250,250,4,QRIS,75000,0,250000,6/8/2024,LUNAS,
251,251,2,TRANSFER,510000,0,1700000,10/6/2024,LUNAS,BUKTI-251-2024
252,252,3,CASH,672000,0,2240000,1/25/2024,LUNAS,
253,253,2,CASH,1350000,0,4500000,5/18/2024,LUNAS,
254,254,2,TRANSFER,144000,0,480000,1/2/2024,LUNAS,BUKTI-254-2024
255,255,3,QRIS,165000,0,550000,12/4/2024,LUNAS,
256,256,1,QRIS,270000,0,900000,6/19/2024,LUNAS,
257,257,3,TRANSFER,465000,0,1550000,6/25/2024,LUNAS,BUKTI-257-2024
258,258,2,TRANSFER,0,0,0,12/14/2024,BELUM BAYAR,BUKTI-258-2024
259,259,5,TRANSFER,0,0,0,7/1/2024,BELUM BAYAR,BUKTI-259-2024
260,260,2,QRIS,248000,0,825000,1/8/2024,LUNAS,
261,261,1,TRANSFER,798000,1862000,2660000,3/31/2024,DP,BUKTI-261-2024
262,262,1,CASH,348000,0,1160000,1/12/2024,LUNAS,
263,263,5,TRANSFER,1080000,0,3600000,10/18/2024,LUNAS,BUKTI-263-2024
264,264,2,CASH,810000,1890000,2700000,4/6/2024,DP,
265,265,3,QRIS,798000,1862000,2660000,12/17/2024,DP,
266,266,3,CASH,435000,0,1450000,7/27/2024,LUNAS,
267,267,1,QRIS,186000,0,620000,8/9/2024,LUNAS,
268,268,3,TRANSFER,1455000,0,4850000,8/18/2024,LUNAS,BUKTI-268-2024
269,269,1,QRIS,1680000,0,5600000,12/22/2024,LUNAS,
270,270,3,TRANSFER,576000,0,1920000,12/4/2024,LUNAS,BUKTI-270-2024
271,271,2,KARTU KREDIT,405000,0,1350000,12/29/2024,LUNAS,
272,272,3,CASH,900000,0,3000000,12/29/2024,LUNAS,
273,273,4,TRANSFER,348000,0,1160000,6/29/2024,LUNAS,BUKTI-273-2024
274,274,2,QRIS,540000,0,1800000,10/12/2024,LUNAS,
275,275,3,TRANSFER,480000,1120000,1600000,6/24/2024,DP,BUKTI-275-2024
276,276,1,TRANSFER,0,0,0,9/7/2024,BELUM BAYAR,BUKTI-276-2024
277,277,3,QRIS,0,0,0,4/13/2024,BELUM BAYAR,
278,278,1,CASH,1080000,0,3600000,6/19/2024,LUNAS,
279,279,2,TRANSFER,630000,0,2100000,7/30/2024,LUNAS,BUKTI-279-2024
280,280,1,CASH,456000,0,1520000,3/20/2024,LUNAS,
281,281,2,KARTU KREDIT,960000,0,3200000,5/7/2024,LUNAS,
282,282,5,CASH,210000,0,700000,12/24/2024,LUNAS,
283,283,2,QRIS,270000,0,900000,2/20/2024,LUNAS,
284,284,3,KARTU KREDIT,360000,0,1200000,12/23/2024,LUNAS,
285,285,2,TRANSFER,1008000,0,3360000,6/17/2024,LUNAS,BUKTI-285-2024
286,286,1,CASH,3150000,0,10500000,6/17/2024,LUNAS,
287,287,2,CASH,1125000,0,3750000,12/1/2024,LUNAS,
288,288,5,TRANSFER,0,0,0,12/1/2024,BELUM BAYAR,BUKTI-288-2024
289,289,3,TRANSFER,450000,0,1500000,8/27/2024,LUNAS,BUKTI-289-2024
290,290,5,QRIS,669000,0,2230000,1/23/2024,LUNAS,
291,291,2,QRIS,405000,0,1350000,6/9/2024,LUNAS,
292,292,5,TRANSFER,0,0,0,4/6/2024,BELUM BAYAR,BUKTI-292-2024
293,293,5,TRANSFER,609000,0,2030000,6/16/2024,LUNAS,BUKTI-293-2024
294,294,4,CASH,330000,0,1100000,10/19/2024,LUNAS,
295,295,4,CASH,795000,0,2650000,12/20/2024,LUNAS,
296,296,3,QRIS,2250000,0,7500000,8/24/2024,LUNAS,
297,297,3,QRIS,1365000,0,4550000,12/15/2024,LUNAS,
298,298,5,TRANSFER,0,0,0,11/12/2024,BELUM BAYAR,BUKTI-298-2024
299,299,3,QRIS,456000,0,1520000,12/30/2024,LUNAS,
300,300,3,KARTU KREDIT,756000,0,2520000,10/5/2024,LUNAS,
301,301,1,CASH,0,0,0,11/6/2024,BELUM BAYAR,
302,302,4,TRANSFER,900000,2100000,3000000,3/2/2024,DP,BUKTI-302-2024
303,303,5,TRANSFER,1935000,0,6450000,4/1/2024,LUNAS,BUKTI-303-2024
304,304,5,TRANSFER,0,0,0,3/31/2024,BELUM BAYAR,BUKTI-304-2024
305,305,2,CASH,1065000,0,3550000,1/6/2024,LUNAS,
306,306,1,CASH,1575000,0,5250000,9/28/2024,LUNAS,
307,307,4,CASH,651000,0,2170000,4/17/2024,LUNAS,
308,308,1,KARTU KREDIT,1200000,2800000,4000000,6/27/2024,DP,
309,309,3,CASH,0,0,0,2/18/2024,BELUM BAYAR,
310,310,5,QRIS,591000,0,1970000,11/26/2024,LUNAS,
311,311,4,TRANSFER,630000,0,2100000,2/27/2024,LUNAS,BUKTI-311-2024
312,312,1,KARTU KREDIT,945000,0,3150000,12/21/2024,LUNAS,
313,313,3,CASH,330000,0,1100000,6/8/2024,LUNAS,
314,314,5,QRIS,1380000,0,4600000,5/24/2024,LUNAS,
315,315,5,CASH,0,0,0,4/30/2024,BELUM BAYAR,
316,316,5,TRANSFER,2175000,0,7250000,12/29/2024,LUNAS,BUKTI-316-2024
317,317,4,QRIS,1470000,0,4900000,2/20/2024,LUNAS,
318,318,1,TRANSFER,576000,0,1920000,10/12/2024,LUNAS,BUKTI-318-2024
319,319,5,CASH,540000,0,1800000,1/2/2024,LUNAS,
320,320,3,TRANSFER,435000,0,1450000,5/18/2024,LUNAS,BUKTI-320-2024
321,321,1,QRIS,1680000,0,5600000,7/5/2024,LUNAS,
322,322,1,CASH,630000,0,2100000,3/4/2024,LUNAS,
323,323,3,QRIS,2250000,0,7500000,1/5/2024,LUNAS,
324,324,2,CASH,0,0,0,12/7/2024,BELUM BAYAR,
325,325,5,TRANSFER,240000,0,800000,6/16/2024,LUNAS,BUKTI-325-2024
326,326,2,TRANSFER,945000,0,3150000,5/27/2024,LUNAS,BUKTI-326-2024
327,327,4,KARTU KREDIT,750000,0,2500000,11/23/2024,LUNAS,
328,328,3,TRANSFER,270000,0,900000,6/21/2024,LUNAS,BUKTI-328-2024
329,329,5,TRANSFER,675000,0,2250000,6/11/2024,LUNAS,BUKTI-329-2024
330,330,5,TRANSFER,2160000,0,7200000,3/3/2024,LUNAS,BUKTI-330-2024
331,331,1,KARTU KREDIT,600000,1400000,2000000,8/8/2024,DP,
332,332,4,KARTU KREDIT,225000,0,750000,4/23/2024,LUNAS,
333,333,3,TRANSFER,1200000,0,4000000,6/8/2024,LUNAS,BUKTI-333-2024
334,334,2,KARTU KREDIT,2250000,0,7500000,2/18/2024,LUNAS,
335,335,3,TRANSFER,882000,0,2940000,11/19/2024,LUNAS,BUKTI-335-2024
336,336,5,TRANSFER,0,0,0,6/18/2024,BELUM BAYAR,BUKTI-336-2024
337,337,4,QRIS,0,0,0,8/10/2024,BELUM BAYAR,
338,338,2,TRANSFER,348000,0,1160000,8/16/2024,LUNAS,BUKTI-338-2024
339,339,2,TRANSFER,690000,0,2300000,7/24/2024,LUNAS,BUKTI-339-2024
340,340,1,TRANSFER,270000,0,900000,11/30/2024,LUNAS,BUKTI-340-2024
341,341,4,KARTU KREDIT,0,0,0,12/8/2024,BELUM BAYAR,
342,342,4,TRANSFER,384000,896000,1280000,6/23/2024,DP,BUKTI-342-2024
343,343,5,KARTU KREDIT,1830000,0,6100000,12/17/2024,LUNAS,
344,344,1,QRIS,630000,0,2100000,8/26/2024,LUNAS,
345,345,2,CASH,540000,0,1800000,6/25/2024,LUNAS,
346,346,5,CASH,900000,0,3000000,4/1/2024,LUNAS,
347,347,3,KARTU KREDIT,600000,0,2000000,3/25/2024,LUNAS,
348,348,5,QRIS,1800000,0,6000000,12/27/2024,LUNAS,
349,349,2,TRANSFER,1740000,0,5800000,3/17/2024,LUNAS,BUKTI-349-2024
350,350,4,QRIS,360000,0,1200000,12/3/2024,LUNAS,
351,351,4,CASH,0,0,0,11/12/2024,BELUM BAYAR,
352,352,5,CASH,384000,0,1280000,6/8/2024,LUNAS,
353,353,3,CASH,270000,0,900000,6/30/2024,LUNAS,
354,354,3,CASH,477000,0,1590000,8/25/2024,LUNAS,
355,355,1,TRANSFER,630000,0,2100000,4/6/2024,LUNAS,BUKTI-355-2024
356,356,4,QRIS,495000,0,1650000,8/12/2024,LUNAS,
